decimal, binary
57538, 1110000011000010
54750, 1101010111011110
13175, 11001101110111
12393, 11000001101001
31294, 111101000111110
4504, 1000110011000
64806, 1111110100100110
55222, 1101011110110110
23819, 101110100001011
43561, 1010101000101001
1272, 10011111000
35925, 1000110001010101
518, 1000000110
40055, 1001110001110111
15940, 11111001000100
34544, 1000011011110000
64710, 1111110011000110
54537, 1101010100001001
49664, 1100001000000000
55475, 1101100010110011
63638, 1111100010010110
61815, 1111000101110111
53657, 1101000110011001
22359, 101011101010111
767, 1011111111
37890, 1001010000000010
27701, 110110000110101
40507, 1001111000111011
43822, 1010101100101110
24860, 110000100011100
61145, 1110111011011001
52338, 1100110001110010
59187, 1110011100110011
32336, 111111001010000
34899, 1000100001010011
18182, 100011100000110
21456, 101001111010000
57698, 1110000101100010
3628, 111000101100
64708, 1111110011000100
35702, 1000101101110110
32455, 111111011000111
45971, 1011001110010011
30492, 111011100011100
55730, 1101100110110010
39281, 1001100101110001
41199, 1010000011101111
53369, 1101000001111001
18734, 100100100101110
60377, 1110101111011001
15272, 11101110101000
5286, 1010010100110
11158, 10101110010110
7785, 1111001101001
37676, 1001001100101100
58017, 1110001010100001
62612, 1111010010010100
18010, 100011001011010
26774, 110100010010110
14602, 11100100001010
27438, 110101100101110
11819, 10111000101011
5387, 1010100001011
31151, 111100110101111
29378, 111001011000010
60525, 1110110001101101
1735, 11011000111
35157, 1000100101010101
984, 1111011000
48762, 1011111001111010
22717, 101100010111101
64056, 1111101000111000
35960, 1000110001111000
28366, 110111011001110
54165, 1101001110010101
13495, 11010010110111
56883, 1101111000110011
62536, 1111010001001000
33470, 1000001010111110
52104, 1100101110001000
48306, 1011110010110010
27474, 110101101010010
25247, 110001010011111
18708, 100100100010100
37355, 1001000111101011
63545, 1111100000111001
31910, 111110010100110
50073, 1100001110011001
65188, 1111111010100100
15295, 11101110111111
27957, 110110100110101
61937, 1111000111110001
32642, 111111110000010
10880, 10101010000000
64357, 1111101101100101
7744, 1111001000000
32449, 111111011000001
545, 1000100001
28411, 110111011111011
62624, 1111010010100000
11340, 10110001001100
46630, 1011011000100110
13179, 11001101111011
29049, 111000101111001
31404, 111101010101100
12312, 11000000011000
3053, 101111101101
11958, 10111010110110
33936, 1000010010010000
14959, 11101001101111
27387, 110101011111011
39061, 1001100010010101
40095, 1001110010011111
65268, 1111111011110100
687, 1010101111
37032, 1001000010101000
6720, 1101001000000
9322, 10010001101010
12101, 10111101000101
2650, 101001011010
2577, 101000010001
56510, 1101110010111110
4055, 111111010111
60532, 1110110001110100
23042, 101101000000010
38861, 1001011111001101
25719, 110010001110111
56488, 1101110010101000
47384, 1011100100011000
65476, 1111111111000100
10333, 10100001011101
48321, 1011110011000001
3269, 110011000101
30537, 111011101001001
19668, 100110011010100
8015, 1111101001111
62415, 1111001111001111
46872, 1011011100011000
12785, 11000111110001
33957, 1000010010100101
42433, 1010010111000001
4636, 1001000011100
28464, 110111100110000
6168, 1100000011000
42222, 1010010011101110
50283, 1100010001101011
43546, 1010101000011010
61543, 1111000001100111
48849, 1011111011010001
49594, 1100000110111010
62472, 1111010000001000
25705, 110010001101001
22554, 101100000011010
29383, 111001011000111
37256, 1001000110001000
46875, 1011011100011011
32491, 111111011101011
2652, 101001011100
41749, 1010001100010101
49542, 1100000110000110
58565, 1110010011000101
61389, 1110111111001101
27171, 110101000100011
57964, 1110001001101100
9581, 10010101101101
63164, 1111011010111100
2415, 100101101111
8809, 10001001101001
56211, 1101101110010011
15383, 11110000010111
13636, 11010101000100
3847, 111100000111
12249, 10111111011001
49899, 1100001011101011
44566, 1010111000010110
39560, 1001101010001000
5106, 1001111110010
29120, 111000111000000
38390, 1001010111110110
2695, 101010000111
58241, 1110001110000001
30953, 111100011101001
10636, 10100110001100
4639, 1001000011111
5427, 1010100110011
50067, 1100001110010011
26418, 110011100110010
10452, 10100011010100
25449, 110001101101001
18351, 100011110101111
53086, 1100111101011110
48445, 1011110100111101
61129, 1110111011001001
24050, 101110111110010
61388, 1110111111001100
48178, 1011110000110010
1439, 10110011111
1612, 11001001100
46047, 1011001111011111
35429, 1000101001100101
8111, 1111110101111
64443, 1111101110111011
11980, 10111011001100
60921, 1110110111111001
4591, 1000111101111
30804, 111100001010100
4827, 1001011011011
1148, 10001111100
4052, 111111010100
39842, 1001101110100010
35186, 1000100101110010
533, 1000010101
3693, 111001101101
9034, 10001101001010
64206, 1111101011001110
6506, 1100101101010
36042, 1000110011001010
33846, 1000010000110110
40250, 1001110100111010
10871, 10101001110111
48894, 1011111011111110
7056, 1101110010000
59310, 1110011110101110
33880, 1000010001011000
38347, 1001010111001011
54716, 1101010110111100
31321, 111101001011001
61534, 1111000001011110
38749, 1001011101011101
43374, 1010100101101110
7844, 1111010100100
32095, 111110101011111
2763, 101011001011
12573, 11000100011101
60406, 1110101111110110
28260, 110111001100100
14498, 11100010100010
18805, 100100101110101
53109, 1100111101110101
47881, 1011101100001001
35338, 1000101000001010
7425, 1110100000001
20631, 101000010010111
37095, 1001000011100111
26586, 110011111011010
42414, 1010010110101110
44496, 1010110111010000
54339, 1101010001000011
2886, 101101000110
22302, 101011100011110
62400, 1111001111000000
40177, 1001110011110001
62247, 1111001100100111
48762, 1011111001111010
19083, 100101010001011
15788, 11110110101100
50738, 1100011000110010
63610, 1111100001111010
29553, 111001101110001
19193, 100101011111001
24554, 101111111101010
48616, 1011110111101000
55636, 1101100101010100
57487, 1110000010001111
35687, 1000101101100111
44345, 1010110100111001
20832, 101000101100000
10451, 10100011010011
18137, 100011011011001
18376, 100011111001000
1762, 11011100010
18168, 100011011111000
6327, 1100010110111
50908, 1100011011011100
23517, 101101111011101
1747, 11011010011
46245, 1011010010100101
17444, 100010000100100
64328, 1111101101001000
18672, 100100011110000
64676, 1111110010100100
34731, 1000011110101011
16236, 11111101101100
18403, 100011111100011
52146, 1100101110110010
47895, 1011101100010111
54158, 1101001110001110
23733, 101110010110101
8391, 10000011000111
54836, 1101011000110100
57250, 1101111110100010
400, 110010000
48724, 1011111001010100
12308, 11000000010100
53891, 1101001010000011
4333, 1000011101101
12971, 11001010101011
5548, 1010110101100
61272, 1110111101011000
19978, 100111000001010
10424, 10100010111000
47585, 1011100111100001
57611, 1110000100001011
5441, 1010101000001
31846, 111110001100110
2525, 100111011101
47270, 1011100010100110
14883, 11101000100011
25942, 110010101010110
34775, 1000011111010111
37110, 1001000011110110
4875, 1001100001011
17654, 100010011110110
44108, 1010110001001100
34516, 1000011011010100
28450, 110111100100010
50004, 1100001101010100
17139, 100001011110011
46391, 1011010100110111
3355, 110100011011
51510, 1100100100110110
56220, 1101101110011100
63055, 1111011001001111
25598, 110001111111110
26362, 110011011111010
32574, 111111100111110
23117, 101101001001101
727, 1011010111
36023, 1000110010110111
45496, 1011000110111000
6308, 1100010100100
23473, 101101110110001
63455, 1111011111011111
26638, 110100000001110
59059, 1110011010110011
32255, 111110111111111
58547, 1110010010110011
39849, 1001101110101001
26233, 110011001111001
26861, 110100011101101
27925, 110110100010101
3151, 110001001111
34417, 1000011001110001
15574, 11110011010110
50145, 1100001111100001
36377, 1000111000011001
59911, 1110101000000111
49552, 1100000110010000
12839, 11001000100111
5783, 1011010010111
22866, 101100101010010
11934, 10111010011110
54029, 1101001100001101
43122, 1010100001110010
23673, 101110001111001
62225, 1111001100010001
8230, 10000000100110
50964, 1100011100010100
35142, 1000100101000110
42719, 1010011011011111
40466, 1001111000010010
23217, 101101010110001
13937, 11011001110001
50333, 1100010010011101
60508, 1110110001011100
64995, 1111110111100011
1328, 10100110000
43400, 1010100110001000
54872, 1101011001011000
21642, 101010010001010
10862, 10101001101110
41361, 1010000110010001
24543, 101111111011111
38715, 1001011100111011
46396, 1011010100111100
16743, 100000101100111
64526, 1111110000001110
30048, 111010101100000
956, 1110111100
29589, 111001110010101
6787, 1101010000011
47019, 1011011110101011
56417, 1101110001100001
5456, 1010101010000
57952, 1110001001100000
38434, 1001011000100010
40305, 1001110101110001
27574, 110101110110110
18334, 100011110011110
15053, 11101011001101
23920, 101110101110000
13560, 11010011111000
64503, 1111101111110111
6208, 1100001000000
49869, 1100001011001101
62204, 1111001011111100
24975, 110000110001111
34109, 1000010100111101
1963, 11110101011
48229, 1011110001100101
50896, 1100011011010000
58292, 1110001110110100
46869, 1011011100010101
11693, 10110110101101
16172, 11111100101100
7190, 1110000010110
13610, 11010100101010
32758, 111111111110110
24530, 101111111010010
52336, 1100110001110000
24525, 101111111001101
51166, 1100011111011110
64047, 1111101000101111
17535, 100010001111111
21071, 101001001001111
19306, 100101101101010
34610, 1000011100110010
41129, 1010000010101001
10581, 10100101010101
44031, 1010101111111111
57879, 1110001000010111
23641, 101110001011001
51741, 1100101000011101
59130, 1110011011111010
57684, 1110000101010100
16613, 100000011100101
647, 1010000111
49813, 1100001010010101
6325, 1100010110101
18388, 100011111010100
28959, 111000100011111
11659, 10110110001011
10607, 10100101101111
44374, 1010110101010110
34991, 1000100010101111
60645, 1110110011100101
862, 1101011110
26976, 110100101100000
43781, 1010101100000101
34901, 1000100001010101
18759, 100100101000111
57907, 1110001000110011
2487, 100110110111
8524, 10000101001100
24166, 101111001100110
24105, 101111000101001
30989, 111100100001101
24001, 101110111000001
54599, 1101010101000111
15300, 11101111000100
62495, 1111010000011111
60706, 1110110100100010
40346, 1001110110011010
40790, 1001111101010110
6600, 1100111001000
63294, 1111011100111110
26299, 110011010111011
37493, 1001001001110101
32921, 1000000010011001
25282, 110001011000010
41101, 1010000010001101
3043, 101111100011
59057, 1110011010110001
16505, 100000001111001
38778, 1001011101111010
3545, 110111011001
38022, 1001010010000110
60568, 1110110010011000
20641, 101000010100001
56145, 1101101101010001
31289, 111101000111001
57685, 1110000101010101
4929, 1001101000001
39899, 1001101111011011
52967, 1100111011100111
17091, 100001011000011
58935, 1110011000110111
51962, 1100101011111010
36234, 1000110110001010
36058, 1000110011011010
23006, 101100111011110
51539, 1100100101010011
11905, 10111010000001
63446, 1111011111010110
60582, 1110110010100110
23275, 101101011101011
2660, 101001100100
57973, 1110001001110101
45296, 1011000011110000
5887, 1011011111111
34646, 1000011101010110
62532, 1111010001000100
57522, 1110000010110010
55896, 1101101001011000
20885, 101000110010101
12605, 11000100111101
37222, 1001000101100110
54595, 1101010101000011
36695, 1000111101010111
43630, 1010101001101110
41364, 1010000110010100
21809, 101010100110001
16531, 100000010010011
59816, 1110100110101000
5210, 1010001011010
12874, 11001001001010
55555, 1101100100000011
46988, 1011011110001100
45059, 1011000000000011
26499, 110011110000011
16726, 100000101010110
52723, 1100110111110011
59544, 1110100010011000
37560, 1001001010111000
65455, 1111111110101111
6487, 1100101010111
64754, 1111110011110010
24596, 110000000010100
51341, 1100100010001101
57856, 1110001000000000
7084, 1101110101100
50511, 1100010101001111
40212, 1001110100010100
14037, 11011011010101
606, 1001011110
52035, 1100101101000011
3540, 110111010100
24660, 110000001010100
36913, 1001000000110001
27316, 110101010110100
7229, 1110000111101
57123, 1101111100100011
7495, 1110101000111
53243, 1100111111111011
34615, 1000011100110111
17274, 100001101111010
42225, 1010010011110001
64853, 1111110101010101
40241, 1001110100110001
55508, 1101100011010100
52882, 1100111010010010
47797, 1011101010110101
59969, 1110101001000001
61174, 1110111011110110
32757, 111111111110101
26436, 110011101000100
10571, 10100101001011
26967, 110100101010111
18832, 100100110010000
6206, 1100000111110
48655, 1011111000001111
62456, 1111001111111000
45253, 1011000011000101
43273, 1010100100001001
25544, 110001111001000
46395, 1011010100111011
27087, 110100111001111
48100, 1011101111100100
51982, 1100101100001110
5916, 1011100011100
39665, 1001101011110001
19977, 100111000001001
20691, 101000011010011
34136, 1000010101011000
27867, 110110011011011
45607, 1011001000100111
17422, 100010000001110
38635, 1001011011101011
41817, 1010001101011001
54329, 1101010000111001
3409, 110101010001
49647, 1100000111101111
31777, 111110000100001
48188, 1011110000111100
18565, 100100010000101
4856, 1001011111000
51760, 1100101000110000
4753, 1001010010001
7804, 1111001111100
16320, 11111111000000
47514, 1011100110011010
50022, 1100001101100110
18091, 100011010101011
61029, 1110111001100101
45464, 1011000110011000
42528, 1010011000100000
11337, 10110001001001
19340, 100101110001100
34449, 1000011010010001
33604, 1000001101000100
27082, 110100111001010
36397, 1000111000101101
53566, 1101000100111110
45789, 1011001011011101
36775, 1000111110100111
52011, 1100101100101011
11650, 10110110000010
6838, 1101010110110
21192, 101001011001000
5471, 1010101011111
60257, 1110101101100001
11771, 10110111111011
29778, 111010001010010
35309, 1000100111101101
52091, 1100101101111011
8419, 10000011100011
59755, 1110100101101011
62764, 1111010100101100
20173, 100111011001101
1897, 11101101001
61801, 1111000101101001
3022, 101111001110
23189, 101101010010101
47290, 1011100010111010
18942, 100100111111110
213, 11010101
5600, 1010111100000
30711, 111011111110111
55349, 1101100000110101
56950, 1101111001110110
31480, 111101011111000
25099, 110001000001011
20961, 101000111100001
16382, 11111111111110
30160, 111010111010000
36319, 1000110111011111
36420, 1000111001000100
42901, 1010011110010101
44510, 1010110111011110
16900, 100001000000100
54031, 1101001100001111
48770, 1011111010000010
12981, 11001010110101
42708, 1010011011010100
22949, 101100110100101
62825, 1111010101101001
26817, 110100011000001
7955, 1111100010011
35356, 1000101000011100
51741, 1100101000011101
14830, 11100111101110
27057, 110100110110001
16514, 100000010000010
27797, 110110010010101
22186, 101011010101010
8974, 10001100001110
28341, 110111010110101
51592, 1100100110001000
31745, 111110000000001
5899, 1011100001011
60191, 1110101100011111
31943, 111110011000111
55776, 1101100111100000
29389, 111001011001101
19104, 100101010100000
19134, 100101010111110
8545, 10000101100001
55098, 1101011100111010
23234, 101101011000010
14443, 11100001101011
57754, 1110000110011010
43970, 1010101111000010
60990, 1110111000111110
10161, 10011110110001
12485, 11000011000101
65516, 1111111111101100
51671, 1100100111010111
31557, 111101101000101
16374, 11111111110110
60735, 1110110100111111
62646, 1111010010110110
16573, 100000010111101
42006, 1010010000010110
50472, 1100010100101000
20927, 101000110111111
19719, 100110100000111
743, 1011100111
54127, 1101001101101111
25214, 110001001111110
16491, 100000001101011
39255, 1001100101010111
42620, 1010011001111100
28130, 110110111100010
52797, 1100111000111101
40606, 1001111010011110
22172, 101011010011100
11907, 10111010000011
24671, 110000001011111
26230, 110011001110110
22767, 101100011101111
19891, 100110110110011
15342, 11101111101110
28366, 110111011001110
52765, 1100111000011101
22994, 101100111010010
43829, 1010101100110101
1559, 11000010111
26616, 110011111111000
41736, 1010001100001000
11906, 10111010000010
38332, 1001010110111100
13299, 11001111110011
12747, 11000111001011
22595, 101100001000011
43449, 1010100110111001
32072, 111110101001000
34743, 1000011110110111
30739, 111100000010011
41783, 1010001100110111
36358, 1000111000000110
57030, 1101111011000110
16924, 100001000011100
55183, 1101011110001111
59478, 1110100001010110
41995, 1010010000001011
14638, 11100100101110
12626, 11000101010010
28344, 110111010111000
58338, 1110001111100010
10298, 10100000111010
16602, 100000011011010
64901, 1111110110000101
23304, 101101100001000
13169, 11001101110001
54105, 1101001101011001
53143, 1100111110010111
13579, 11010100001011
55720, 1101100110101000
14263, 11011110110111
60425, 1110110000001001
50064, 1100001110010000
62407, 1111001111000111
13010, 11001011010010
41611, 1010001010001011
64115, 1111101001110011
9805, 10011001001101
34436, 1000011010000100
56980, 1101111010010100
11027, 10101100010011
57384, 1110000000101000
43231, 1010100011011111
44612, 1010111001000100
34125, 1000010101001101
43489, 1010100111100001
13340, 11010000011100
31389, 111101010011101
64297, 1111101100101001
7973, 1111100100101
35066, 1000100011111010
59343, 1110011111001111
5746, 1011001110010
18334, 100011110011110
59694, 1110100100101110
11549, 10110100011101
31342, 111101001101110
55933, 1101101001111101
56248, 1101101110111000
415, 110011111
25239, 110001010010111
38316, 1001010110101100
37089, 1001000011100001
60373, 1110101111010101
4941, 1001101001101
470, 111010110
18335, 100011110011111
21812, 101010100110100
5621, 1010111110101
55257, 1101011111011001
4801, 1001011000001
10436, 10100011000100
29555, 111001101110011
61997, 1111001000101101
23805, 101110011111101
28262, 110111001100110
58324, 1110001111010100
27908, 110110100000100
55634, 1101100101010010
40322, 1001110110000010
31152, 111100110110000
52902, 1100111010100110
24288, 101111011100000
22893, 101100101101101
50117, 1100001111000101
23565, 101110000001101
32528, 111111100010000
32954, 1000000010111010
8575, 10000101111111
2942, 101101111110
14664, 11100101001000
64693, 1111110010110101
11226, 10101111011010
5182, 1010000111110
1227, 10011001011
27453, 110101100111101
61798, 1111000101100110
12234, 10111111001010
25749, 110010010010101
52574, 1100110101011110
44677, 1010111010000101
19277, 100101101001101
7647, 1110111011111
42477, 1010010111101101
63138, 1111011010100010
50439, 1100010100000111
21136, 101001010010000
41039, 1010000001001111
34645, 1000011101010101
13025, 11001011100001
3334, 110100000110
25190, 110001001100110
56395, 1101110001001011
25849, 110010011111001
35676, 1000101101011100
50412, 1100010011101100
13500, 11010010111100
44720, 1010111010110000
26425, 110011100111001
3102, 110000011110
39944, 1001110000001000
7133, 1101111011101
56963, 1101111010000011
11981, 10111011001101
59057, 1110011010110001
7800, 1111001111000
5857, 1011011100001
1165, 10010001101
424, 110101000
56144, 1101101101010000
32302, 111111000101110
42773, 1010011100010101
47117, 1011100000001101
16562, 100000010110010
31652, 111101110100100
42442, 1010010111001010
17713, 100010100110001
13690, 11010101111010
42360, 1010010101111000
51557, 1100100101100101
3965, 111101111101
3365, 110100100101
48978, 1011111101010010
56850, 1101111000010010
55944, 1101101010001000
24468, 101111110010100
25178, 110001001011010
7147, 1101111101011
52339, 1100110001110011
54852, 1101011001000100
54637, 1101010101101101
50820, 1100011010000100
23588, 101110000100100
16036, 11111010100100
6619, 1100111011011
54680, 1101010110011000
53767, 1101001000000111
30657, 111011111000001
13958, 11011010000110
29541, 111001101100101
20047, 100111001001111
54059, 1101001100101011
2736, 101010110000
16057, 11111010111001
1781, 11011110101
54239, 1101001111011111
234, 11101010
7868, 1111010111100
7478, 1110100110110
12801, 11001000000001
35352, 1000101000011000
42355, 1010010101110011
39433, 1001101000001001
37110, 1001000011110110
63475, 1111011111110011
6583, 1100110110111
45983, 1011001110011111
60881, 1110110111010001
40163, 1001110011100011
6243, 1100001100011
62796, 1111010101001100
1445, 10110100101
27553, 110101110100001
31615, 111101101111111
51636, 1100100110110100
29496, 111001100111000
15419, 11110000111011
64843, 1111110101001011
13474, 11010010100010
27506, 110101101110010
46012, 1011001110111100
64595, 1111110001010011
60617, 1110110011001001
35753, 1000101110101001
35474, 1000101010010010
48132, 1011110000000100
62295, 1111001101010111
5463, 1010101010111
51898, 1100101010111010
31862, 111110001110110
26248, 110011010001000
57775, 1110000110101111
42224, 1010010011110000
40996, 1010000000100100
40682, 1001111011101010
22096, 101011001010000
14155, 11011101001011
65169, 1111111010010001
55645, 1101100101011101
7674, 1110111111010
46858, 1011011100001010
6333, 1100010111101
29622, 111001110110110
17094, 100001011000110
24628, 110000000110100
14160, 11011101010000
46387, 1011010100110011
52258, 1100110000100010
45672, 1011001001101000
10145, 10011110100001
23113, 101101001001001
7844, 1111010100100
26420, 110011100110100
3526, 110111000110
4391, 1000100100111
37552, 1001001010110000
53422, 1101000010101110
26730, 110100001101010
50520, 1100010101011000
199, 11000111
53509, 1101000100000101
30755, 111100000100011
13687, 11010101110111
38123, 1001010011101011
2031, 11111101111
22901, 101100101110101
15533, 11110010101101
41331, 1010000101110011
4094, 111111111110
21907, 101010110010011
33525, 1000001011110101
39770, 1001101101011010
12674, 11000110000010
42591, 1010011001011111
52557, 1100110101001101
31499, 111101100001011
30195, 111010111110011
52445, 1100110011011101
31379, 111101010010011
12634, 11000101011010
12864, 11001001000000
54827, 1101011000101011
5509, 1010110000101
392, 110001000
13741, 11010110101101
51983, 1100101100001111
25874, 110010100010010
53939, 1101001010110011
28221, 110111000111101
57144, 1101111100111000
43077, 1010100001000101
28167, 110111000000111
51264, 1100100001000000
46703, 1011011001101111
60046, 1110101010001110
61254, 1110111101000110
30464, 111011100000000
24398, 101111101001110
29184, 111001000000000
41433, 1010000111011001
32226, 111110111100010
57642, 1110000100101010
11582, 10110100111110
4855, 1001011110111
64254, 1111101011111110
54810, 1101011000011010
62895, 1111010110101111
50055, 1100001110000111
27497, 110101101101001
28369, 110111011010001
50455, 1100010100010111
32460, 111111011001100
15563, 11110011001011
49621, 1100000111010101
46772, 1011011010110100
9829, 10011001100101
31421, 111101010111101
47888, 1011101100010000
14214, 11011110000110
11652, 10110110000100
8537, 10000101011001
62889, 1111010110101001
58143, 1110001100011111
26618, 110011111111010
9798, 10011001000110
24847, 110000100001111
22093, 101011001001101
14962, 11101001110010
31758, 111110000001110
51478, 1100100100010110
1181, 10010011101
49406, 1100000011111110
57660, 1110000100111100
3317, 110011110101
45630, 1011001000111110
26060, 110010111001100
34330, 1000011000011010
41629, 1010001010011101
8193, 10000000000001
51175, 1100011111100111
52034, 1100101101000010
25787, 110010010111011
65045, 1111111000010101
20105, 100111010001001
30102, 111010110010110
64868, 1111110101100100
40709, 1001111100000101
47656, 1011101000101000
4644, 1001000100100
31740, 111101111111100
24401, 101111101010001
48051, 1011101110110011
59060, 1110011010110100
7987, 1111100110011
1363, 10101010011
24056, 101110111111000
49779, 1100001001110011
33499, 1000001011011011
48796, 1011111010011100
37321, 1001000111001001
6336, 1100011000000
55616, 1101100101000000
55618, 1101100101000010
63937, 1111100111000001
14353, 11100000010001
47239, 1011100010000111
57713, 1110000101110001
32250, 111110111111010
29972, 111010100010100
41828, 1010001101100100
27362, 110101011100010
44913, 1010111101110001
9364, 10010010010100
11862, 10111001010110
27910, 110110100000110
62225, 1111001100010001
10976, 10101011100000
32692, 111111110110100
61723, 1111000100011011
52826, 1100111001011010
315, 100111011
23324, 101101100011100
64848, 1111110101010000
19873, 100110110100001
1880, 11101011000
64032, 1111101000100000
9984, 10011100000000
15513, 11110010011001
5546, 1010110101010
4615, 1001000000111
36803, 1000111111000011
60899, 1110110111100011
50087, 1100001110100111
60927, 1110110111111111
59122, 1110011011110010
36577, 1000111011100001
13540, 11010011100100
27615, 110101111011111
47600, 1011100111110000
8761, 10001000111001
5105, 1001111110001
17374, 100001111011110
58065, 1110001011010001
2288, 100011110000
9547, 10010101001011
11452, 10110010111100
15445, 11110001010101
22854, 101100101000110
18758, 100100101000110
35388, 1000101000111100
25347, 110001100000011
12407, 11000001110111
38647, 1001011011110111
40370, 1001110110110010
26302, 110011010111110
